stop_code,stop_url,stop_lat,stop_timezone,preferred,stop_desc,stop_id,parent_station,stop_name,stop_lon,location_type,wheelchair_boarding,zone_id
2442,,44.107774,,2,,2442,,Southbound @ 72 Franklin,-79.116345,0,1,
2443,,44.109472,,2,,2443,,Brock Street Westbound @ Main Street,-79.12032499999998,0,1,
2444,,44.093705,,2,,2444,,Reach Westbound @ Marsh Hill (Epsom),-79.035732,0,2,
2445,,44.093585,,2,,2445,,Reach Eastbound @ Marsh Hill (Epsom),-79.035966,0,2,
2446,,44.104969,,2,,2446,,Reach Eastbound @ Reach Industrial Park,-78.985241,0,2,
2447,,44.105095,,2,,2447,,Reach Westbound @ Reach Industrial Park,-78.98500799999998,0,2,
2448,,44.106497,,2,,2448,,Reach Eastbound @ North Port,-78.978346,0,2,
2449,,44.106635,,2,,2449,,Reach Westbound @ North Port,-78.977997,0,2,
245,,43.917513,,2,,245,,Anderson Southbound @ Kilbride,-78.937106,0,1,
2450,,44.110073,,2,,2450,,Reach Eastbound @ Sherrington,-78.961905,0,1,
2451,,44.110199,,2,,2451,,Reach Westbound @ Sherrington,-78.961945,0,2,
2452,,44.11102600000001,,2,,2452,,Reach Eastbound @ Old Simcoe,-78.957515,0,2,
2453,,44.1122,,2,,2453,,Reach Eastbound @ Simcoe,-78.951756,0,1,
2454,,44.112316,,2,,2454,,Reach Westbound @ Simcoe,-78.951684,0,2,
2455,,44.111107,,2,,2455,,Reach Westbound @ Old Simcoe,-78.957656,0,2,
2456,,43.979501,,2,,2456,,Simcoe Northbound @ Steepleview (Columbus),-78.91001199999998,0,2,
2457,,43.982318,,2,,2457,,Simcoe Northbound @ Columbus Road (Columbus),-78.911266,0,2,
2458,,43.982203,,2,,2458,,Simcoe Southbound @ Columbus Road (Columbus),-78.911351,0,2,
2459,,43.979472,,2,,2459,,Simcoe Southbound @ Westview (Columbus),-78.910124,0,2,
246,,43.915405,,2,,246,,Anderson Southbound @ Darren,-78.936222,0,2,
2462,,44.017775,,2,,2462,,Simcoe Northbound @ Raglan Road (Raglan),-78.925672,0,2,
2463,,44.024868,,2,,2463,,Simcoe Northbound @ Snow Ridge,-78.924563,0,2,
2464,,44.024706,,2,,2464,,Simcoe Southbound @ Snow Ridge,-78.92478199999998,0,2,
2465,,44.018378,,2,,2465,,Simcoe Southbound @ Raglan Road (Raglan),-78.925944,0,2,
2473,,44.08405984,,2,,2473,,King Westbound @ Old Simcoe,-78.95354168,0,2,
2475,,44.089871,,2,,2475,,Old Simcoe Northbound @ Jeffrey,-78.955184,0,1,
2476,,44.090628,,2,,2476,,Old Simcoe Southbound @ Jeffrey,-78.955344,0,2,
2478,,44.083946,,2,,2478,,King Eastbound @ Old Simcoe,-78.953711,0,1,
2491,,44.10227900000001,,1,,2491,,Curts Eastbound @ Port Perry Terminal,-78.938356,0,1,
2500,,44.110346,,2,,2500,,Simcoe Southbound @ Kellett,-78.950117,0,1,
